             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
       17453215_60  parallel HT_aflow   coses1  R   15:29:16      1 c172
       17453215_61  parallel HT_aflow   coses1  R   15:29:16      1 c173
       17453215_62  parallel HT_aflow   coses1  R   15:29:16      1 c174
       17453215_63  parallel HT_aflow   coses1  R   15:29:16      1 c463
       17453215_64  parallel HT_aflow   coses1  R   15:29:16      1 c464
       17453215_65  parallel HT_aflow   coses1  R   15:29:16      1 c465
       17453215_66  parallel HT_aflow   coses1  R   15:29:16      1 c466
       17453215_67  parallel HT_aflow   coses1  R   15:29:16      1 c467
       17453215_68  parallel HT_aflow   coses1  R   15:29:16      1 c591
       17453215_69  parallel HT_aflow   coses1  R   15:29:16      1 c592
       17453215_70  parallel HT_aflow   coses1  R   15:29:16      1 c593
       17453215_71  parallel HT_aflow   coses1  R   15:29:16      1 c594
       17453215_72  parallel HT_aflow   coses1  R   15:29:16      1 c595
       17453215_73  parallel HT_aflow   coses1  R   15:29:16      1 c735
       17453215_74  parallel HT_aflow   coses1  R   15:29:16      1 c736
       17453215_75  parallel HT_aflow   coses1  R   15:29:16      1 c737
          17371383  parallel OOD_Para skumar94  R 1-23:04:30      1 c560
          17435700  parallel       wf ywang268  R   20:40:55      1 c349
          17430029  parallel   C09-12   xwei20  R   22:26:44      1 c718
          17430030  parallel   C10-12   xwei20  R   22:26:44      1 c719
          17430031  parallel   C11-12   xwei20  R   22:26:44      1 c414
          17430032  parallel   C12-12   xwei20  R   22:26:44      1 c415
          17430033  parallel   C13-12   xwei20  R   22:26:44      1 c416
          17430034  parallel   C14-12   xwei20  R   22:26:44      1 c417
          17430035  parallel   C15-12   xwei20  R   22:26:44      1 c418
          17430036  parallel   C16-12   xwei20  R   22:26:44      1 c419
          17430037  parallel   C17-12   xwei20  R   22:26:44      1 c420
          17430038  parallel   C18-12   xwei20  R   22:26:44      1 c421
          17430039  parallel   C19-12   xwei20  R   22:26:44      1 c422
          17430040  parallel   C20-12   xwei20  R   22:26:44      1 c423
          17430007  parallel    C09-9   xwei20  R   22:27:15      1 c680
          17430008  parallel    C10-9   xwei20  R   22:27:15      1 c681
          17430009  parallel    C11-9   xwei20  R   22:27:15      1 c682
          17430010  parallel    C12-9   xwei20  R   22:27:15      1 c683
          17430011  parallel    C13-9   xwei20  R   22:27:15      1 c684
          17430012  parallel    C14-9   xwei20  R   22:27:15      1 c685
          17430013  parallel    C15-9   xwei20  R   22:27:15      1 c711
          17430014  parallel    C16-9   xwei20  R   22:27:15      1 c712
          17430015  parallel    C17-9   xwei20  R   22:27:15      1 c713
